term,estimate,std.error,statistic,p.value,sig
home_passing_touchdowns,5.280719964095406,0.3074494593860343,17.175896079442836,8.652153402346933e-57,***
home_rushing_touchdowns,5.174908107567318,0.3457634691148412,14.966613219190412,5.3320172533337834e-45,***
week,-0.39092711422960685,0.03911350168878285,-9.994684631923883,2.772231621192245e-22,***
season,-1.9097217451958437,0.2731091963083025,-6.9925208341942175,5.563762225154721e-12,***
turnover_ratio,1.1761572410625019,0.2601902233219373,4.520374463137397,7.072376076827997e-6,***
home_rushing_yards,0.027346976099561115,0.006503397790322115,4.205028968127538,2.8949742311356792e-5,***
home_passing_yards,0.017622186533654556,0.004254438494747975,4.14207105248056,3.795142199543641e-5,***
home_turnovers,-0.5575944190835029,0.24074240926441068,-2.3161453803973915,0.02079371069441754,*
rush_efficiency_ratio,-35.84301362485265,40.491874356375234,-0.8851902806324241,0.3763109977228456,
pass_efficiency_ratio,29.880382619263717,40.14624445036105,0.7442883644125021,0.45691321085509784,
home_penalties,0.03517605699159979,0.08265875291738163,0.4255575574284149,0.6705408567828748,
home_third_down_conversions,-0.013734065268229716,0.11277150321121861,-0.1217866648678621,0.9030975251618037,
td_efficiency_ratio,0.17835475759437078,1.852612843269621,0.09627200752834997,0.9233278383612777,
